Timestamp,Where is the closest major city or hub?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of,Company Detail - Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,Compensation - Sign on Bonus Value,[OPTIONAL] Sign on - Relocation Assistance Total Value,What country do you work in?,Compensation - Overtime Pay,[Optional] Company Review,[Optional] Briefly describe your position,List other relevant and recognized certifications,Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Compensation - Stock Options,Compensation - Most recent annual yearly raise (%),Compensation - Options,Have you one a post-doc?
3/10/2023 12:54:09,PA,Pharmaceutical (including “big pharma”),Incyte,Private,200-1000,Manager,M.D./PharmD/D.D.S. or Equivalent,5,140000,15%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/11/2023 22:02:01,"Thousand Oaks, CA",Pharmaceutical (including “big pharma”),NA,Private,1-50,Scientist,Bachelors or Equivalent,10,110000,10% Bonus,30k Shares vested over 4 years,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/14/2023 4:13:10,Boston,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Scientist II,PhD or Equivalent,3,136000,13600,Not Applicable/None,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/14/2023 12:26:17,New York,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Senior Scientist,PhD or Equivalent,2,140000,14000,5000 RSU/y,10000,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/16/2023 13:54:42,Boston,Academia/Research,NA,Private,1000-5000,Sr. Bioinformatics Analyst,PhD or Equivalent,1,130000,10000,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/17/2023 19:29:12,"Michigan, USA",Agriculture/Food,NA,Start-up,50-200,Research Associate lvl II,Bachelors or Equivalent,5,55000,10%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/17/2023 20:13:20,Boston,Pharmaceutical (including “big pharma”),Sanofi,Private,5000+,Process Engineer,Masters or Equivalent,8,136000,20400,Not Applicable/None,80000,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/17/2023 20:24:40,Maryland,Pharmaceutical (including “big pharma”),Texcell NA,Private,1-50,Viral Clearance Coordinator,Bachelors or Equivalent,2,64480,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/18/2023 7:50:07,"Macclesfield, UK",CRO,NA,Private,200-1000,Assistant Manager,Masters or Equivalent,5,45000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/18/2023 11:05:54,Ireland,Pharmaceutical (including “big pharma”),Pfizer,Private,5000+,Process Engineer,PhD or Equivalent,5,65000,5000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/18/2023 18:00:41,Indianapolis,Pharmaceutical (including “big pharma”),Eli Lilly,Private,5000+,Process Development Engineer,Bachelors or Equivalent,1,87000,11%,3500,NA,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/19/2023 13:42:14,Bay Area,Academia/Research,NA,Private,1-50,Bioinformatics Research Associate,Bachelors or Equivalent,6,100000,10000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/19/2023 21:43:40,Canada,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Research Associate I,Masters or Equivalent,2,85000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
